what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1362009772833
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1362009772854
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1362009772980
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1362009777491
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1362009777495
started,bundle,org.eclipse.wst.jsdt.web.support.jsp,1.0.400.v201102241833,"org.eclipse.wst.jsdt.web.support.jsp",1362009777607
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1362009777649
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1362009777945
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1362009778081
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1362009778139
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1362009778315
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1362009778545
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1362009778576
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1362009779382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362009781837
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1362009781913
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1362009781926
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362009782878
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1362009783026
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1362009783730
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1362009783767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362009786942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362009787567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362009908114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362009909270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362009961965
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362009964609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362010131940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362010138892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362010223943
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362010232676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362010237389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362011129220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362011136861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362011139158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362011139816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362011140186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362011141933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362011148059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362011149687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362011689858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362011696187
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014118665
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362014118925
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362014119017
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1362014120647
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1362014120742
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362014124812
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362014129171
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362014129932
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362014130133
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362014130209
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1362014133776
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1362014162380
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362014162434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362014163492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1362014172526
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362014175028
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362014177442
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014188710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014190429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1362014190434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014191857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014192632
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014193009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014193105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014193738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014194610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014194921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014196650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014198468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014199355
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1362014200451
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1362014201244
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362014201872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014203201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362014230269
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362014235031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362014236801
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1362014238536
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362014242162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362014245031
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1362014250762
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1362014250765
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1362014250833
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1362014250846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1362014252583
