X:500.3	Y:1533
X:500.9	Y:1478
X:501.3	Y:793
X:502.2	Y:1779
X:502.6	Y:830
X:503.3	Y:3158
X:504.4	Y:1564
X:504.9	Y:1444
X:505.3	Y:3005
X:505.8	Y:2592
X:506.5	Y:1756
X:507.3	Y:2802
X:508.3	Y:1224
X:509.2	Y:457
X:509.9	Y:1685
X:510.3	Y:2541
X:511.5	Y:780
X:512.2	Y:1938
X:513.3	Y:3519
X:514.2	Y:857
X:514.8	Y:833
X:515.3	Y:414
X:516.4	Y:1005
X:517.1	Y:1763
X:517.9	Y:991
X:518.1	Y:917
X:519.3	Y:2138
X:520.5	Y:4248
X:521.3	Y:1725
X:521.9	Y:414
X:522.5	Y:1070
X:522.8	Y:1231
X:523.3	Y:3066
X:524.8	Y:2686
X:525.4	Y:4033
X:526.3	Y:1805
X:526.8	Y:1592
X:527.3	Y:621
X:528.1	Y:978
X:529.3	Y:2643
X:529.8	Y:2714
X:530.8	Y:1486
X:531.3	Y:1766
X:532	Y:2094
X:533.3	Y:1541
X:533.8	Y:1547
X:534.2	Y:1442
X:534.8	Y:1710
X:535.4	Y:1997
X:536.2	Y:910
X:536.8	Y:1496
X:537.3	Y:1176
X:538.1	Y:1629
X:539.3	Y:2259
X:540	Y:3177
X:540.8	Y:1995
X:541.4	Y:457
X:542.3	Y:1855
X:543	Y:1131
X:543.9	Y:1507
X:544.8	Y:765
X:545.3	Y:2178
X:546.3	Y:1273
X:546.8	Y:3467
X:547.4	Y:939
X:548.4	Y:721
X:548.8	Y:389
X:549.5	Y:922
X:549.9	Y:1305
X:550.3	Y:1192
X:550.9	Y:392
X:551.3	Y:877
X:552.3	Y:1609
X:553.3	Y:1393
X:553.9	Y:761
X:554.4	Y:1652
X:555.4	Y:1668
X:556	Y:1756
X:556.3	Y:1489
X:557.3	Y:86758
X:558.4	Y:29380
X:559.3	Y:8591
X:560.3	Y:1978
X:560.8	Y:2015
X:561.6	Y:1090
X:562.3	Y:1891
X:562.9	Y:2674
X:564	Y:1146
X:565.2	Y:4226
X:566.3	Y:1399
X:567.7	Y:1899
X:568.7	Y:1340
X:569.3	Y:3805
X:570.4	Y:1185
X:571.1	Y:1269
X:571.7	Y:970
X:572.3	Y:1183
X:573.1	Y:1515
X:573.9	Y:1813
X:575	Y:1458
X:575.8	Y:1144
X:576.7	Y:1236
X:577.3	Y:1579
X:578.3	Y:1091
X:579	Y:1601
X:579.4	Y:2231
X:580.1	Y:340
X:580.5	Y:747
X:581.4	Y:1074
X:582	Y:1091
X:582.8	Y:1764
X:583.3	Y:3770
X:583.9	Y:477
X:584.4	Y:672
X:585.1	Y:1036
X:585.6	Y:1179
X:586.4	Y:899
X:587.2	Y:2379
X:588.3	Y:656
X:588.8	Y:1180
X:589.4	Y:1447
X:590	Y:1202
X:590.8	Y:1605
X:591.3	Y:975
X:592.1	Y:1013
X:592.7	Y:1267
X:593.3	Y:2416
X:594.5	Y:1688
X:595.4	Y:1297
X:596.3	Y:918
X:597.3	Y:1704
X:598	Y:434
X:598.8	Y:2540
X:599.4	Y:776
X:599.9	Y:998
X:600.8	Y:1146
X:601.3	Y:1472
X:602	Y:1545
X:602.4	Y:1428
X:602.9	Y:2136
X:603.3	Y:1209
X:603.9	Y:1408
X:604.4	Y:534
X:605.3	Y:1289
X:605.9	Y:519
X:606.9	Y:813
X:607.6	Y:1302
X:608.3	Y:900
X:608.9	Y:374
X:609.4	Y:1442
X:609.8	Y:1547
X:610.3	Y:1175
X:610.9	Y:2225
X:611.3	Y:864
X:612.1	Y:667
X:612.7	Y:1193
X:613.4	Y:818
X:614.3	Y:562
X:615.1	Y:2223
X:616	Y:1094
X:616.8	Y:1917
X:617.3	Y:775
X:618	Y:965
X:618.6	Y:504
X:619.4	Y:1406
X:620.5	Y:654
X:621.3	Y:1255
X:622.5	Y:1521
X:624.3	Y:3308
X:624.7	Y:2505
X:625.4	Y:1245
X:626	Y:1039
X:626.6	Y:664
X:627.2	Y:873
X:627.9	Y:997
X:628.4	Y:934
X:629.1	Y:1155
X:629.8	Y:803
X:630.4	Y:1164
X:631	Y:667
X:631.4	Y:1031
X:632.6	Y:739
X:633.3	Y:733
X:633.7	Y:404
X:634.4	Y:2201
X:635.9	Y:3132
X:636.7	Y:419
X:637.4	Y:21170
X:637.9	Y:13833
X:638.4	Y:6925
X:639.3	Y:3456
X:640.4	Y:3046
X:641.5	Y:2903
X:642.2	Y:1134
X:643.4	Y:8961
X:644.6	Y:4768
X:645.4	Y:1482
X:645.8	Y:1538
X:646.4	Y:658
X:647	Y:499
X:647.7	Y:1081
X:648.3	Y:2727
X:649	Y:497
X:649.4	Y:658
X:650.4	Y:785
X:651.2	Y:1093
X:652.4	Y:5176
X:652.9	Y:2209
X:653.9	Y:1467
X:654.4	Y:4393
X:654.9	Y:3939
X:655.4	Y:3880
X:656.2	Y:3888
X:657.2	Y:3380
X:658.3	Y:2065
X:659	Y:1515
X:659.9	Y:10296
X:660.4	Y:4800
X:660.9	Y:2282
X:661.3	Y:2125
X:661.9	Y:3027
X:663.8	Y:1077
X:664.4	Y:949
X:665.7	Y:1519
X:666.3	Y:2366
X:666.8	Y:9790
X:667.4	Y:7264
X:667.9	Y:6533
X:668.9	Y:4599
X:669.9	Y:991
X:670.4	Y:888
X:671.1	Y:469
X:672.1	Y:580
X:672.7	Y:574
X:673.4	Y:1299
X:674.3	Y:445
X:674.9	Y:4502
X:675.4	Y:2773
X:675.8	Y:2234
